File Name,Company Name,Document Type,Date,Preferred Stock Type,Order of Priority,Liquidation Preference,Liquidation Multiple,Number of Preferred Stocks Issued,Original Issue Price
48_2006-07-25_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2006-07-25,B,1,$0.340000,1,"20,588,235",N/A
48_2008-02-25_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2008-02-25,A,1,$0.200000,1,"33,424,202",N/A
48_2008-02-25_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2008-02-25,B,1,$0.340000,1,"26,307,646",N/A
48_2008-02-25_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2008-02-25,C,1,$0.496400,1,"49,153,908",N/A
48_2009-03-30_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2009-03-30,A,1,$0.200000,1,"33,424,202",N/A
48_2009-03-30_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2009-03-30,B,1,$0.340000,1,"26,307,646",N/A
48_2009-03-30_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2009-03-30,C,1,$0.496400,1,"54,915,391",N/A
48_2013-06-27_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2013-06-27,A,1,$0.200000,1,"33,424,202",N/A
48_2013-06-27_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2013-06-27,B,1,$0.340000,1,"26,307,646",N/A
48_2013-06-27_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2013-06-27,C,1,$0.496400,1,"54,903,127",N/A
48_2013-06-27_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2013-06-27,D,1,"$1,000.000000",1,"115,000",N/A
48_2013-12-06_Certificates of Incorporation,"A10 Networks, INC",Certificate of Incorporation,2013-12-06,A,1,$0.200000,1,"33,424,202",N/A
48_2013-12-06_Certificates of Incorporation,"A10 Networks, INC",Certificate of Incorporation,2013-12-06,B,1,$0.340000,1,"26,307,646",N/A
48_2013-12-06_Certificates of Incorporation,"A10 Networks, INC",Certificate of Incorporation,2013-12-06,C,1,$0.496400,1,"54,903,127",N/A
48_2013-12-06_Certificates of Incorporation,"A10 Networks, INC",Certificate of Incorporation,2013-12-06,D,1,"$1,000.000000",1,"115,000",N/A
49_2006-01-30_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2006-01-30,A,1,$1.000000,1,"8,322,500",$1.000000
49_2006-01-30_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2006-01-30,A-1,1,$1.500000,1,"2,925,000",$1.500000
49_2006-01-30_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2006-01-30,B,1,$2.078192,1,"9,691,116",$2.078192
49_2006-01-30_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2006-01-30,B-1,2,$3.330000,1,"1,499,992",$3.330000
